epoch,train_loss,val_loss,val_mIoU,pixel_accuracy,learning_rate,checkpoint_saved,best_updated,background_IoU,wall_IoU,opening_IoU,room_IoU,icon_IoU
0,0.543145,0.400635,0.719642,0.862738,5.994e-05,True,True,0.781263,0.723081,0.657194,0.770163,0.666508
1,0.356315,0.338381,0.753058,0.878047,5.976e-05,True,True,0.797923,0.744865,0.713318,0.792683,0.716501
2,0.314346,0.313257,0.768059,0.88778,5.947e-05,True,True,0.810955,0.750549,0.727398,0.811928,0.739466
3,0.292968,0.288531,0.783921,0.897551,5.906e-05,True,True,0.830165,0.758944,0.749754,0.825509,0.755231
4,0.276187,0.279559,0.791024,0.901142,5.853e-05,True,True,0.834568,0.764602,0.762939,0.83155,0.761459
5,0.26889,0.275282,0.794267,0.9004,5.789e-05,True,True,0.831507,0.767083,0.769139,0.828546,0.775058
6,0.258943,0.269392,0.797386,0.903229,5.714e-05,True,True,0.836834,0.771508,0.772395,0.834214,0.771979
7,0.253929,0.262635,0.8032,0.906874,5.629e-05,True,True,0.84219,0.772644,0.773995,0.840973,0.7862
8,0.247438,0.257596,0.80681,0.90873,5.533e-05,True,True,0.846505,0.774458,0.7799,0.843091,0.790098
9,0.243722,0.25482,0.807109,0.908542,5.427e-05,True,True,0.845822,0.772088,0.783126,0.842642,0.791869
10,0.240488,0.252395,0.809348,0.909862,5.312e-05,True,True,0.849333,0.777524,0.783123,0.843869,0.792889
11,0.235594,0.252943,0.810224,0.909066,5.187e-05,True,True,0.846391,0.779635,0.786606,0.841826,0.796664
12,0.231397,0.249735,0.813147,0.910775,5.054e-05,True,True,0.850173,0.781482,0.788851,0.84409,0.801141
13,0.229898,0.246207,0.815042,0.911932,4.912e-05,True,True,0.850419,0.78302,0.789373,0.847249,0.805151
14,0.22682,0.241766,0.818429,0.914117,4.763e-05,True,True,0.854404,0.782853,0.796822,0.851094,0.80697
15,0.223475,0.244913,0.816468,0.913183,4.607e-05,True,False,0.852291,0.779649,0.795434,0.850405,0.804563
16,0.221341,0.241015,0.818589,0.914103,4.445e-05,True,True,0.855737,0.784122,0.79274,0.850072,0.810272
17,0.220165,0.242959,0.817247,0.911071,4.277e-05,True,False,0.843321,0.785945,0.798171,0.847686,0.811111
18,0.218391,0.239616,0.821528,0.914939,4.104e-05,True,True,0.854489,0.787455,0.798997,0.852274,0.814426
19,0.216276,0.23637,0.822804,0.916177,3.927e-05,True,True,0.855498,0.787469,0.801347,0.855947,0.813761
20,0.215388,0.232069,0.82487,0.918081,3.746e-05,True,True,0.861348,0.788076,0.799951,0.858101,0.816873
