epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,background_IoU,wall_IoU,opening_IoU,room_IoU,icon_IoU,wall_boundary_F1,opening_boundary_F1,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_IoU,clean_opening_IoU,clean_opening_boundary_F1,original_pixel_accuracy,original_foreground_mIoU,original_wall_IoU,original_opening_IoU,original_opening_boundary_F1,learning_rate,checkpoint_saved,best_updated
0,1.136982,1.003825,0.489281,0.489009,0.446269,0.73794,0.747307,0.65997,0.421062,0.333604,0.650439,0.379972,0.507844,0.329061,0.849156,0.686475,0.712911,0.606309,0.533278,0.628794,0.291247,0.189431,0.189824,0.160766,5.994e-05,True,True
1,1.002625,0.948368,0.512452,0.508271,0.466109,0.753229,0.765489,0.676922,0.433841,0.351195,0.667387,0.412012,0.51696,0.382654,0.859877,0.716025,0.736422,0.673812,0.647886,0.648567,0.303285,0.199442,0.196931,0.167506,5.976e-05,True,True
2,0.96506,0.928985,0.513603,0.514685,0.471104,0.758476,0.767888,0.689012,0.44249,0.347454,0.672648,0.421824,0.524525,0.373162,0.868082,0.718057,0.73659,0.646949,0.625782,0.65091,0.306105,0.202474,0.19885,0.166,5.947e-05,True,True
3,0.945334,0.911831,0.521632,0.520617,0.478429,0.764529,0.778621,0.689371,0.446987,0.350952,0.683894,0.431881,0.522721,0.391095,0.873837,0.745186,0.74948,0.696017,0.676417,0.657256,0.308878,0.205895,0.196774,0.168267,5.906e-05,True,True
4,0.929875,0.89798,0.5231,0.520423,0.478324,0.762902,0.777611,0.688817,0.44981,0.3565,0.682649,0.424336,0.526012,0.396855,0.883455,0.753764,0.753461,0.70476,0.688436,0.644594,0.309942,0.213331,0.200468,0.169289,5.853e-05,True,True
5,0.917823,0.891639,0.52621,0.523467,0.479032,0.766489,0.775813,0.701208,0.44561,0.356462,0.686713,0.427343,0.527513,0.40866,0.882797,0.742957,0.748526,0.673723,0.711148,0.652346,0.313459,0.215664,0.203235,0.168356,5.789e-05,True,True
6,0.908828,0.884823,0.527749,0.526003,0.481907,0.768567,0.782527,0.702389,0.45171,0.358884,0.689327,0.427706,0.5311,0.404646,0.886283,0.755804,0.758041,0.71823,0.707909,0.653044,0.312549,0.213462,0.201178,0.170354,5.714e-05,True,True
7,0.899904,0.879418,0.535905,0.531448,0.487959,0.773504,0.786311,0.705401,0.456808,0.371568,0.695086,0.428375,0.535293,0.417839,0.887734,0.767595,0.759611,0.726784,0.722894,0.661401,0.316493,0.215044,0.207979,0.17488,5.629e-05,True,True
8,0.893317,0.876009,0.532704,0.533442,0.488175,0.775598,0.780749,0.714509,0.455489,0.354287,0.696678,0.446246,0.53215,0.415015,0.889199,0.741259,0.753529,0.626911,0.713059,0.664112,0.319001,0.214011,0.20858,0.173119,5.533e-05,True,False
9,0.887115,0.868262,0.537895,0.535429,0.491338,0.775488,0.784912,0.711793,0.457204,0.375349,0.694869,0.43793,0.536858,0.414945,0.889903,0.762416,0.755989,0.714946,0.703782,0.663202,0.3211,0.224097,0.211365,0.177318,5.427e-05,True,True
