metric,baseline_raw_r2g,current_phase4,delta,note
macro_adjacency_f1,unavailable,0.816474,,raw Raster-to-Graph produces no openings or circulation
macro_adjacency_precision,unavailable,0.877083,,raw Raster-to-Graph produces no openings or circulation
macro_adjacency_recall,unavailable,0.795249,,raw Raster-to-Graph produces no openings or circulation
macro_component_count_abs_error,5.083333,1.166667,-3.916667,
macro_component_count_error,5.027778,0.888889,-4.138889,
macro_component_count_exact,0.000000,0.361111,0.361111,
macro_diag_node_distance_mean_px,2.427675,2.432403,0.004728,
macro_diag_node_distance_median_px,2.220413,2.191425,-0.028987,
macro_door_f1,unavailable,0.696938,,raw Raster-to-Graph produces no openings or circulation
macro_door_precision,unavailable,0.739045,,raw Raster-to-Graph produces no openings or circulation
macro_door_recall,unavailable,0.676696,,raw Raster-to-Graph produces no openings or circulation
macro_edge_f1,0.188468,0.478464,0.289996,
macro_edge_overlap_f1,0.545270,0.720649,0.175379,
macro_edge_overlap_precision,0.907453,0.883948,-0.023505,
macro_edge_overlap_recall,0.395819,0.629146,0.233327,
macro_edge_precision,0.307019,0.567212,0.260192,
macro_edge_recall,0.137679,0.424314,0.286635,
macro_gap_accuracy,unavailable,0.938856,,raw Raster-to-Graph produces no openings or circulation
macro_host_accuracy,unavailable,0.479200,,raw Raster-to-Graph produces no openings or circulation
macro_junction_degree_exact_f1,0.239148,0.427273,0.188125,
macro_junction_degree_exact_precision,0.300782,0.496699,0.195917,
macro_junction_degree_exact_recall,0.206337,0.385885,0.179548,
macro_junction_degree_within_1_f1,0.438585,0.627652,0.189067,
macro_junction_degree_within_1_precision,0.549423,0.732307,0.182884,
macro_junction_degree_within_1_recall,0.377323,0.564563,0.187240,
macro_node_f1,0.724003,0.714708,-0.009296,
macro_node_f1_relaxed,0.751180,0.748476,-0.002704,
macro_node_precision,0.886196,0.832113,-0.054083,
macro_node_precision_relaxed,0.920648,0.872836,-0.047812,
macro_node_recall,0.630174,0.643147,0.012973,
macro_node_recall_relaxed,0.653346,0.673167,0.019821,
macro_predicted_dangling_node_ratio,0.574707,0.289795,-0.284913,
macro_predicted_duplicate_edge_count,0.000000,0.000000,0.000000,
macro_predicted_isolated_node_ratio,0.000000,0.005600,0.005600,
