sample_id,base_plan_id,input_type,scored,exclusion_reason,adjacency_f1,adjacency_precision,adjacency_recall,component_count_abs_error,component_count_error,component_count_exact,diag_node_distance_mean_px,diag_node_distance_median_px,door_f1,door_precision,door_recall,edge_f1,edge_overlap_f1,edge_overlap_precision,edge_overlap_recall,edge_precision,edge_recall,gap_accuracy,host_accuracy,junction_degree_exact_f1,junction_degree_exact_precision,junction_degree_exact_recall,junction_degree_within_1_f1,junction_degree_within_1_precision,junction_degree_within_1_recall,node_f1,node_f1_relaxed,node_precision,node_precision_relaxed,node_recall,node_recall_relaxed,predicted_dangling_node_ratio,predicted_duplicate_edge_count,predicted_isolated_node_ratio,predicted_non_orthogonal_ratio,predicted_zero_length_edge_count,reachability_agreement,reference_dangling_node_ratio,reference_duplicate_edge_count,reference_isolated_node_ratio,reference_non_orthogonal_ratio,reference_zero_length_edge_count,space_count_error,window_f1,window_precision,window_recall,adjacency_fn,adjacency_fp,adjacency_tp,broken_junctions,correctly_hosted_openings,disconnected_circulation,door_tp,duplicate_gaps,edge_fn,edge_fp,edge_overlap_tp,edge_tp,false_connections,false_separations,gap_correct_openings,matched_openings,matched_spaces,missing_doors,missing_windows,mistyped_openings,node_fn,node_fp,node_tp,predicted_components,predicted_spaces,reachable_pairs_predicted,reachable_pairs_reference,reference_components,reference_spaces,spurious_doors,spurious_windows,unhosted_openings,unmatched_predicted_spaces,unmatched_reference_spaces,window_tp
10203_model_clean_png,10203,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.261710,1.850724,0.352941,0.333333,0.375000,0.571429,0.816327,0.952381,0.714286,0.666667,0.500000,1.000000,0.714286,0.391304,0.450000,0.346154,0.652174,0.750000,0.576923,0.782609,0.826087,0.900000,0.950000,0.692308,0.730769,0.300000,0.000000,0.000000,0.000000,0.000000,1.000000,0.269231,0.000000,0.000000,0.000000,0.000000,0.000000,0.888889,0.800000,1.000000,0,0,2,9,5,0,3,0,14,7,20,14,0,0,5,7,3,5,0,0,8,2,18,2,4,3,3,1,4,6,1,0,1,1,4
10341_model_clean_png,10341,svg_rendered_clean,1,,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.689862,2.413241,0.631579,0.600000,0.666667,0.196721,0.590164,0.857143,0.450000,0.285714,0.150000,1.000000,0.200000,0.096774,0.130435,0.076923,0.516129,0.695652,0.410256,0.580645,0.612903,0.782609,0.826087,0.461538,0.487179,0.434783,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,-4.000000,0.666667,0.800000,0.571429,1,0,0,15,2,1,6,0,34,15,18,6,0,1,2,10,2,3,3,0,21,5,18,3,3,0,1,2,7,4,1,4,1,5,4
10539_model_clean_png,10539,svg_rendered_clean,1,,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,3.031763,3.461862,1.000000,1.000000,1.000000,0.740741,0.888889,1.000000,0.800000,0.833333,0.666667,1.000000,0.428571,0.869565,1.000000,0.769231,0.869565,1.000000,0.769231,0.869565,0.869565,1.000000,1.000000,0.769231,0.769231,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,0,4,0,3,0,4,0,5,2,12,10,0,0,3,7,4,0,0,0,3,0,10,1,4,6,6,1,4,0,0,3,0,0,3
11327_model_clean_png,11327,svg_rendered_clean,1,,0.666667,1.000000,0.500000,0.000000,0.000000,1.000000,2.553227,2.210241,0.714286,0.625000,0.833333,0.577778,0.800000,0.857143,0.750000,0.619048,0.541667,1.000000,0.500000,0.512821,0.588235,0.454545,0.769231,0.882353,0.681818,0.871795,0.871795,1.000000,1.000000,0.772727,0.772727,0.058824,0.000000,0.000000,0.000000,0.000000,0.333333,0.227273,0.000000,0.000000,0.000000,0.000000,3.000000,0.857143,0.750000,1.000000,1,0,1,7,4,2,5,0,11,8,18,13,0,2,4,8,3,1,0,0,5,0,17,1,7,1,3,1,4,3,1,1,4,1,3
11491_model_clean_png,11491,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3.329441,2.677911,0.615385,0.666667,0.571429,0.458333,0.791667,0.863636,0.730769,0.500000,0.423077,0.666667,0.750000,0.391304,0.409091,0.375000,0.652174,0.681818,0.625000,0.695652,0.695652,0.727273,0.727273,0.666667,0.666667,0.363636,0.000000,0.000000,0.000000,0.000000,1.000000,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,0,1,7,6,0,4,0,15,11,19,11,0,0,4,8,2,3,0,0,8,6,16,2,4,1,1,1,4,2,0,2,2,2,4
11654_model_clean_png,11654,svg_rendered_clean,1,,0.666667,1.000000,0.500000,2.000000,2.000000,0.000000,1.986582,1.973981,0.666667,0.647059,0.687500,0.333333,0.611111,1.000000,0.440000,0.545455,0.240000,1.000000,0.285714,0.317460,0.454545,0.243902,0.476190,0.681818,0.365854,0.634921,0.634921,0.909091,0.909091,0.487805,0.487805,0.318182,0.000000,0.000000,0.000000,0.000000,0.666667,0.146341,0.000000,0.000000,0.000000,0.000000,-7.000000,1.000000,1.000000,1.000000,4,0,4,10,6,5,11,0,38,10,22,12,0,5,6,21,6,5,0,0,21,2,20,3,6,10,15,1,13,6,0,10,0,7,10
11931_model_clean_png,11931,svg_rendered_clean,1,,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.330357,2.276722,0.857143,0.750000,1.000000,0.823529,1.000000,1.000000,1.000000,0.823529,0.823529,1.000000,1.000000,0.785714,0.846154,0.733333,0.857143,0.923077,0.800000,0.928571,0.928571,1.000000,1.000000,0.866667,0.866667,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.133333,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,1.000000,0,0,4,2,9,0,6,0,3,3,17,14,0,0,9,9,4,0,0,0,2,0,13,1,6,6,6,1,4,2,0,0,2,0,3
12230_model_clean_png,12230,svg_rendered_clean,1,,0.666667,0.800000,0.571429,1.000000,1.000000,0.000000,2.306512,2.040249,0.875000,1.000000,0.777778,0.421053,0.736842,0.682927,0.800000,0.390244,0.457143,0.800000,0.454545,0.417910,0.388889,0.451613,0.686567,0.638889,0.741935,0.776119,0.776119,0.722222,0.722222,0.838710,0.838710,0.222222,0.000000,0.027778,0.000000,0.000000,0.666667,0.161290,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.333333,3,1,4,12,5,5,7,0,19,25,28,16,0,5,4,11,6,2,8,0,5,10,26,2,9,10,15,1,9,0,0,2,3,3,4
1242_model_clean_png,1242,svg_rendered_clean,1,,0.727273,1.000000,0.571429,1.000000,-1.000000,0.000000,2.543414,2.273614,0.727273,0.727273,0.727273,0.563380,0.788732,0.903226,0.700000,0.645161,0.500000,0.857143,0.437500,0.515152,0.548387,0.485714,0.696970,0.741935,0.657143,0.848485,0.878788,0.903226,0.935484,0.800000,0.828571,0.322581,0.000000,0.032258,0.000000,0.000000,0.400000,0.171429,0.000000,0.000000,0.000000,0.000000,-2.000000,0.800000,0.888889,0.727273,3,0,4,11,7,9,8,0,20,11,28,20,0,9,6,16,6,3,3,0,7,3,28,2,7,6,15,3,9,3,1,6,1,3,8
12584_model_clean_png,12584,svg_rendered_clean,1,,0.666667,1.000000,0.500000,0.000000,0.000000,1.000000,4.247475,4.019665,1.000000,1.000000,1.000000,0.521739,0.782609,0.900000,0.692308,0.600000,0.461538,1.000000,0.600000,0.454545,0.500000,0.416667,0.636364,0.700000,0.583333,0.818182,0.909091,0.900000,1.000000,0.750000,0.833333,0.400000,0.000000,0.000000,0.000000,0.000000,0.333333,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1,0,1,4,3,2,3,0,7,4,9,6,0,2,3,5,3,0,0,0,3,1,9,1,3,1,3,1,3,0,0,1,0,0,2
12834_model_clean_png,12834,svg_rendered_clean,0,unusable_graph_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12979_model_clean_png,12979,svg_rendered_clean,1,,0.800000,1.000000,0.666667,5.000000,5.000000,0.000000,2.646091,2.553326,0.631579,0.750000,0.545455,0.400000,0.690909,1.000000,0.527778,0.578947,0.305556,0.800000,0.500000,0.218182,0.240000,0.200000,0.472727,0.520000,0.433333,0.727273,0.727273,0.800000,0.800000,0.666667,0.666667,0.520000,0.000000,0.040000,0.000000,0.000000,1.000000,0.166667,0.000000,0.000000,0.000000,0.000000,-7.000000,0.888889,1.000000,0.800000,1,0,2,14,5,0,6,0,25,8,19,11,0,0,4,10,3,5,1,0,10,5,20,6,3,3,3,1,10,2,0,3,0,7,4
13535_model_clean_png,13535,svg_rendered_clean,1,,0.800000,1.000000,0.666667,0.000000,0.000000,1.000000,2.780117,2.783801,0.857143,0.857143,0.857143,0.530612,0.857143,0.954545,0.777778,0.590909,0.481481,1.000000,0.555556,0.488889,0.611111,0.407407,0.711111,0.888889,0.592593,0.755556,0.755556,0.944444,0.944444,0.629630,0.629630,0.111111,0.000000,0.000000,0.000000,0.000000,1.000000,0.370370,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,1.000000,1.000000,1,0,2,6,5,0,6,0,14,9,21,13,0,0,5,9,3,1,0,0,10,1,17,1,7,3,3,1,3,1,0,2,4,0,3
13_model_clean_png,13,svg_rendered_clean,1,,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.349513,2.088149,0.933333,1.000000,0.875000,0.444444,0.666667,0.800000,0.571429,0.533333,0.380952,1.000000,0.307692,0.363636,0.461538,0.300000,0.545455,0.692308,0.450000,0.666667,0.666667,0.846154,0.846154,0.550000,0.550000,0.153846,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,1.000000,0,0,3,5,4,0,7,0,13,7,12,8,0,0,4,13,3,1,0,0,9,2,11,1,5,3,3,1,3,0,0,2,2,0,6
14099_model_clean_png,14099,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,-1.000000,0.000000,2.416975,2.197257,0.416667,0.714286,0.294118,0.128440,0.330275,0.692308,0.216867,0.269231,0.084337,1.000000,0.333333,0.247619,0.481481,0.166667,0.342857,0.666667,0.230769,0.361905,0.419048,0.703704,0.814815,0.243590,0.282051,0.370370,0.000000,0.000000,0.000000,0.000000,1.000000,0.243590,0.000000,0.000000,0.000000,0.000000,-12.000000,0.625000,0.909091,0.476190,0,0,1,6,5,0,5,0,76,19,18,7,0,0,5,15,2,12,11,0,59,8,19,3,2,1,1,4,14,2,1,1,0,12,10
14483_model_clean_png,14483,svg_rendered_clean,1,,0.666667,0.750000,0.600000,6.000000,6.000000,0.000000,2.833793,2.381834,0.571429,0.608696,0.538462,0.279720,0.531469,0.808511,0.395833,0.425532,0.208333,1.000000,0.375000,0.195489,0.245283,0.162500,0.496241,0.622642,0.412500,0.631579,0.646617,0.792453,0.811321,0.525000,0.537500,0.509434,0.000000,0.000000,0.000000,0.000000,0.466667,0.075000,0.000000,0.000000,0.000000,0.000000,-16.000000,0.740741,1.000000,0.588235,2,1,3,29,9,4,14,0,76,27,38,20,4,4,9,24,6,12,7,0,38,11,42,9,6,10,10,3,22,9,0,2,0,16,10
14530_model_clean_png,14530,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.993177,1.569210,0.384615,0.384615,0.384615,0.144928,0.521739,0.857143,0.375000,0.238095,0.104167,1.000000,0.222222,0.156250,0.217391,0.121951,0.468750,0.652174,0.365854,0.500000,0.562500,0.695652,0.782609,0.390244,0.439024,0.434783,0.000000,0.000000,0.000000,0.000000,1.000000,0.121951,0.000000,0.000000,0.000000,0.000000,-10.000000,0.962963,1.000000,0.928571,0,0,1,11,4,0,5,0,43,16,18,5,0,0,4,18,2,8,1,0,25,7,16,3,2,1,1,2,12,8,0,2,0,10,13
14547_model_clean_png,14547,svg_rendered_clean,1,,0.888889,1.000000,0.800000,2.000000,2.000000,0.000000,2.165666,2.028460,0.888889,1.000000,0.800000,0.606061,0.787879,0.928571,0.684211,0.714286,0.526316,0.875000,0.666667,0.338983,0.344828,0.333333,0.644068,0.655172,0.633333,0.813559,0.847458,0.827586,0.862069,0.800000,0.833333,0.379310,0.000000,0.000000,0.000000,0.000000,1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,-5.000000,1.000000,1.000000,1.000000,1,0,4,14,8,0,8,0,18,8,26,20,0,0,7,12,4,2,0,0,6,5,24,3,5,6,6,1,10,0,0,2,1,6,4
150_model_clean_png,150,svg_rendered_clean,1,,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.234740,2.224346,0.571429,0.500000,0.666667,0.476190,0.761905,1.000000,0.615385,0.625000,0.384615,1.000000,0.142857,0.285714,0.352941,0.240000,0.666667,0.823529,0.560000,0.761905,0.761905,0.941176,0.941176,0.640000,0.640000,0.411765,0.000000,0.000000,0.000000,0.000000,1.000000,0.240000,0.000000,0.000000,0.000000,0.000000,-4.000000,1.000000,1.000000,1.000000,0,0,1,10,1,0,4,0,16,6,16,10,0,0,1,7,2,2,0,0,9,1,16,1,2,1,1,1,6,4,0,1,0,4,3
1609_model_clean_png,1609,svg_rendered_clean,1,,0.600000,0.600000,0.600000,1.000000,-1.000000,0.000000,2.631165,1.899163,0.529412,0.642857,0.450000,0.369748,0.588235,0.744681,0.486111,0.468085,0.305556,1.000000,0.437500,0.357895,0.447368,0.298246,0.568421,0.710526,0.473684,0.610526,0.652632,0.763158,0.815789,0.508772,0.543860,0.236842,0.000000,0.000000,0.000000,0.000000,0.380952,0.070175,0.000000,0.000000,0.000000,0.000000,-6.000000,0.933333,1.000000,0.875000,2,2,3,12,7,9,9,0,50,25,35,22,4,9,7,16,7,11,1,0,28,9,29,1,11,10,15,2,17,5,0,3,4,10,7
20026_model_clean_png,20026,svg_rendered_clean,1,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.477362,2.487133,0.500000,0.666667,0.400000,0.666667,0.750000,0.720000,0.782609,0.640000,0.695652,1.000000,0.600000,0.465116,0.454545,0.476190,0.697674,0.681818,0.714286,0.744186,0.744186,0.727273,0.727273,0.761905,0.761905,0.227273,0.000000,0.000000,0.000000,0.000000,0.000000,0.238095,0.000000,0.000000,0.000000,0.000000,1.000000,0.750000,1.000000,0.600000,1,0,0,6,3,1,2,0,7,9,18,16,0,1,3,5,2,3,2,0,5,6,16,1,5,0,1,1,4,1,0,0,3,2,3
2536_model_clean_png,2536,svg_rendered_clean,1,,0.857143,1.000000,0.750000,3.000000,3.000000,0.000000,2.718856,2.082562,0.631579,0.600000,0.666667,0.352941,0.666667,0.772727,0.586207,0.409091,0.310345,1.000000,0.545455,0.280000,0.280000,0.280000,0.560000,0.560000,0.560000,0.680000,0.680000,0.680000,0.680000,0.680000,0.680000,0.600000,0.000000,0.000000,0.000000,0.000000,0.500000,0.160000,0.000000,0.000000,0.000000,0.000000,-4.000000,1.000000,1.000000,1.000000,1,0,3,10,6,3,6,0,20,13,17,9,0,3,6,11,4,3,0,0,8,8,17,4,4,3,6,1,8,4,0,1,0,4,5
3597_model_clean_png,3597,svg_rendered_clean,1,,0.769231,1.000000,0.625000,1.000000,-1.000000,0.000000,1.823533,1.444246,0.705882,0.750000,0.666667,0.690909,0.836364,1.000000,0.718750,0.826087,0.593750,1.000000,0.500000,0.541667,0.684211,0.448276,0.708333,0.894737,0.586207,0.750000,0.791667,0.947368,1.000000,0.620690,0.655172,0.105263,0.000000,0.000000,0.000000,0.000000,0.466667,0.241379,0.000000,0.000000,0.000000,0.000000,-1.000000,0.923077,1.000000,0.857143,3,0,5,5,6,8,6,0,13,4,23,19,0,8,6,12,6,3,1,0,11,1,18,1,6,7,15,2,7,2,0,3,0,1,6
437_model_clean_png,437,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.716088,2.764533,0.631579,0.600000,0.666667,0.555556,0.814815,0.956522,0.709677,0.652174,0.483871,1.000000,0.533333,0.440000,0.478261,0.407407,0.680000,0.739130,0.629630,0.720000,0.840000,0.782609,0.913043,0.666667,0.777778,0.478261,0.000000,0.000000,0.000000,0.000000,1.000000,0.148148,0.000000,0.000000,0.000000,0.000000,-3.000000,1.000000,1.000000,1.000000,0,0,1,7,8,0,6,0,16,8,22,15,0,0,8,15,2,3,0,0,9,5,18,2,3,1,1,1,6,4,0,5,1,4,9
4741_model_clean_png,4741,svg_rendered_clean,1,,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.359145,2.009358,0.500000,0.750000,0.375000,0.057971,0.318841,0.846154,0.196429,0.153846,0.035714,0.500000,0.083333,0.300000,0.692308,0.191489,0.333333,0.769231,0.212766,0.333333,0.366667,0.769231,0.846154,0.212766,0.234043,0.153846,0.000000,0.000000,0.000000,0.000000,1.000000,0.148936,0.000000,0.000000,0.000000,0.000000,-9.000000,0.837209,1.000000,0.720000,0,0,2,1,2,0,6,0,54,11,11,2,0,0,1,24,3,10,7,0,37,3,10,2,3,3,3,2,12,2,0,0,0,9,18
520_model_clean_png,520,svg_rendered_clean,1,,0.823529,0.875000,0.777778,1.000000,1.000000,0.000000,1.262992,1.131063,0.909091,0.909091,0.909091,0.757576,0.909091,1.000000,0.833333,0.833333,0.694444,1.000000,0.466667,0.740741,0.769231,0.714286,0.740741,0.769231,0.714286,0.814815,0.888889,0.846154,0.923077,0.785714,0.857143,0.230769,0.000000,0.000000,0.000000,0.000000,0.750000,0.071429,0.000000,0.000000,0.000000,0.000000,-2.000000,0.714286,1.000000,0.555556,2,1,7,2,7,7,10,0,11,5,30,25,0,7,7,15,8,1,4,0,6,4,22,2,8,21,28,1,10,1,0,3,0,2,5
6480_model_clean_png,6480,svg_rendered_clean,1,,1.000000,1.000000,1.000000,6.000000,6.000000,0.000000,2.810800,2.575571,0.516129,0.666667,0.421053,0.232558,0.465116,0.789474,0.329670,0.394737,0.164835,1.000000,0.294118,0.190476,0.255319,0.151899,0.492063,0.659574,0.392405,0.603175,0.634921,0.808511,0.851064,0.481013,0.506329,0.531915,0.000000,0.021277,0.000000,0.000000,,0.113924,0.000000,0.000000,0.000000,0.000000,-9.000000,0.720000,0.900000,0.600000,0,0,0,26,5,0,8,0,76,23,30,15,0,0,5,17,1,11,6,0,41,9,38,9,4,,,3,13,4,1,1,3,12,9
6697_model_clean_png,6697,svg_rendered_clean,1,,1.000000,1.000000,1.000000,2.000000,2.000000,0.000000,1.273785,0.940000,0.740741,0.769231,0.714286,0.261905,0.571429,0.750000,0.461538,0.343750,0.211538,0.500000,0.300000,0.320000,0.363636,0.285714,0.506667,0.575758,0.452381,0.586667,0.666667,0.666667,0.757576,0.523810,0.595238,0.363636,0.000000,0.030303,0.000000,0.000000,1.000000,0.119048,0.000000,0.000000,0.000000,0.000000,-9.000000,0.625000,1.000000,0.454545,0,0,1,10,6,0,10,0,41,21,24,11,0,0,3,20,3,4,12,0,20,11,22,3,4,1,1,1,13,3,0,0,1,10,10
6_model_clean_png,6,svg_rendered_clean,1,,0.666667,0.500000,1.000000,0.000000,0.000000,1.000000,2.070946,1.748468,0.571429,0.571429,0.571429,0.651163,0.837209,0.900000,0.782609,0.700000,0.608696,0.800000,0.714286,0.540541,0.526316,0.555556,0.756757,0.736842,0.777778,0.810811,0.864865,0.789474,0.842105,0.833333,0.888889,0.315789,0.000000,0.000000,0.000000,0.000000,0.333333,0.111111,0.000000,0.000000,0.000000,0.000000,-4.000000,1.000000,1.000000,1.000000,0,1,1,5,5,0,4,0,9,6,18,14,2,0,4,7,3,3,0,0,3,4,15,1,3,3,1,1,7,3,0,0,0,4,3
7050_model_clean_png,7050,svg_rendered_clean,1,,1.000000,1.000000,1.000000,1.000000,-1.000000,0.000000,2.650430,2.656271,0.800000,1.000000,0.666667,0.648649,0.864865,1.000000,0.761905,0.750000,0.571429,1.000000,1.000000,0.571429,0.714286,0.476190,0.742857,0.928571,0.619048,0.742857,0.800000,0.928571,1.000000,0.619048,0.666667,0.214286,0.000000,0.000000,0.000000,0.000000,1.000000,0.285714,0.000000,0.000000,0.000000,0.000000,2.000000,0.500000,1.000000,0.333333,0,0,0,3,3,0,2,0,9,4,16,12,0,0,3,3,2,1,2,0,8,1,13,1,5,0,0,2,3,0,0,0,3,1,1
7858_model_clean_png,7858,svg_rendered_clean,1,,0.857143,0.750000,1.000000,1.000000,1.000000,0.000000,1.939710,1.807987,0.500000,0.555556,0.454545,0.528302,0.679245,0.947368,0.529412,0.736842,0.411765,1.000000,0.500000,0.434783,0.500000,0.384615,0.565217,0.650000,0.500000,0.826087,0.826087,0.950000,0.950000,0.730769,0.730769,0.350000,0.000000,0.000000,0.000000,0.000000,1.000000,0.076923,0.000000,0.000000,0.000000,0.000000,-7.000000,0.909091,1.000000,0.833333,0,1,3,9,5,0,5,0,20,5,18,14,0,0,5,10,4,6,1,0,7,1,19,2,4,6,6,1,11,4,0,3,0,7,5
