metric,value,denominator
macro_adjacency_f1,0.816474,36.000000
macro_adjacency_precision,0.877083,36.000000
macro_adjacency_recall,0.795249,36.000000
macro_component_count_abs_error,1.166667,36.000000
macro_component_count_error,0.888889,36.000000
macro_component_count_exact,0.361111,36.000000
macro_diag_node_distance_mean_px,2.432403,36.000000
macro_diag_node_distance_median_px,2.191425,36.000000
macro_door_f1,0.696938,36.000000
macro_door_precision,0.739045,36.000000
macro_door_recall,0.676696,36.000000
macro_edge_f1,0.478464,36.000000
macro_edge_overlap_f1,0.720649,36.000000
macro_edge_overlap_precision,0.883948,36.000000
macro_edge_overlap_recall,0.629146,36.000000
macro_edge_precision,0.567212,36.000000
macro_edge_recall,0.424314,36.000000
macro_gap_accuracy,0.938856,36.000000
macro_host_accuracy,0.479200,36.000000
macro_junction_degree_exact_f1,0.427273,36.000000
macro_junction_degree_exact_precision,0.496699,36.000000
macro_junction_degree_exact_recall,0.385885,36.000000
macro_junction_degree_within_1_f1,0.627652,36.000000
macro_junction_degree_within_1_precision,0.732307,36.000000
macro_junction_degree_within_1_recall,0.564563,36.000000
macro_node_f1,0.714708,36.000000
macro_node_f1_relaxed,0.748476,36.000000
macro_node_precision,0.832113,36.000000
macro_node_precision_relaxed,0.872836,36.000000
macro_node_recall,0.643147,36.000000
macro_node_recall_relaxed,0.673167,36.000000
macro_predicted_dangling_node_ratio,0.289795,36.000000
macro_predicted_duplicate_edge_count,0.000000,36.000000
macro_predicted_isolated_node_ratio,0.005600,36.000000
macro_predicted_non_orthogonal_ratio,0.000000,36.000000
macro_predicted_zero_length_edge_count,0.000000,36.000000
macro_reachability_agreement,0.746599,36.000000
macro_reference_dangling_node_ratio,0.173419,36.000000
macro_reference_duplicate_edge_count,0.000000,36.000000
macro_reference_isolated_node_ratio,0.000000,36.000000
macro_reference_non_orthogonal_ratio,0.000000,36.000000
macro_reference_zero_length_edge_count,0.000000,36.000000
macro_space_count_error,-3.444444,36.000000
macro_window_f1,0.880985,36.000000
macro_window_precision,0.973555,36.000000
macro_window_recall,0.833799,36.000000
micro_adjacency_f1,0.822430,36.000000
micro_adjacency_precision,0.907216,36.000000
micro_adjacency_recall,0.752137,36.000000
micro_door_f1,0.667630,36.000000
micro_door_precision,0.708589,36.000000
micro_door_recall,0.631148,36.000000
micro_edge_f1,0.429722,36.000000
micro_edge_precision,0.549199,36.000000
micro_edge_recall,0.352941,36.000000
micro_gap_accuracy,0.942105,36.000000
micro_host_accuracy,0.423163,36.000000
micro_node_f1,0.681503,36.000000
micro_node_precision,0.811543,36.000000
micro_node_recall,0.587383,36.000000
micro_window_f1,0.846602,36.000000
micro_window_precision,0.973214,36.000000
micro_window_recall,0.749141,36.000000
n_adjacency_f1,36.000000,36.000000
n_adjacency_precision,36.000000,36.000000
n_adjacency_recall,36.000000,36.000000
n_component_count_abs_error,36.000000,36.000000
n_component_count_error,36.000000,36.000000
n_component_count_exact,36.000000,36.000000
n_diag_node_distance_mean_px,36.000000,36.000000
n_diag_node_distance_median_px,36.000000,36.000000
n_door_f1,36.000000,36.000000
n_door_precision,36.000000,36.000000
n_door_recall,36.000000,36.000000
n_edge_f1,36.000000,36.000000
n_edge_overlap_f1,36.000000,36.000000
n_edge_overlap_precision,36.000000,36.000000
n_edge_overlap_recall,36.000000,36.000000
n_edge_precision,36.000000,36.000000
n_edge_recall,36.000000,36.000000
n_gap_accuracy,36.000000,36.000000
n_host_accuracy,36.000000,36.000000
n_junction_degree_exact_f1,36.000000,36.000000
n_junction_degree_exact_precision,36.000000,36.000000
n_junction_degree_exact_recall,36.000000,36.000000
n_junction_degree_within_1_f1,36.000000,36.000000
n_junction_degree_within_1_precision,36.000000,36.000000
n_junction_degree_within_1_recall,36.000000,36.000000
n_node_f1,36.000000,36.000000
n_node_f1_relaxed,36.000000,36.000000
n_node_precision,36.000000,36.000000
n_node_precision_relaxed,36.000000,36.000000
n_node_recall,36.000000,36.000000
n_node_recall_relaxed,36.000000,36.000000
n_predicted_dangling_node_ratio,36.000000,36.000000
n_predicted_duplicate_edge_count,36.000000,36.000000
n_predicted_isolated_node_ratio,36.000000,36.000000
n_predicted_non_orthogonal_ratio,36.000000,36.000000
n_predicted_zero_length_edge_count,36.000000,36.000000
n_reachability_agreement,35.000000,36.000000
n_reference_dangling_node_ratio,36.000000,36.000000
n_reference_duplicate_edge_count,36.000000,36.000000
n_reference_isolated_node_ratio,36.000000,36.000000
n_reference_non_orthogonal_ratio,36.000000,36.000000
n_reference_zero_length_edge_count,36.000000,36.000000
n_space_count_error,36.000000,36.000000
n_window_f1,36.000000,36.000000
n_window_precision,36.000000,36.000000
n_window_recall,36.000000,36.000000
total_broken_junctions,305.000000,36.000000
total_disconnected_circulation,59.000000,36.000000
total_duplicate_gaps,0.000000,36.000000
total_false_connections,17.000000,36.000000
total_false_separations,59.000000,36.000000
total_missing_doors,135.000000,36.000000
total_missing_windows,73.000000,36.000000
total_mistyped_openings,0.000000,36.000000
total_spurious_doors,95.000000,36.000000
total_spurious_windows,6.000000,36.000000
total_unhosted_openings,84.000000,36.000000
